root@gendalf:~# bconsole 
Connecting to Director localhost:9101
1000 OK: 1 gendalf-dir Version: 7.0.5 (28 July 2014)
Enter a period to cancel a command.
*list jobs
Automatically selected Catalog: MyCatalog
Using Catalog "MyCatalog"
+-------+-------------------+---------------------+------+-------+----------+----------+-----------+
| JobId | Name              | StartTime           | Type | Level | JobFiles | JobBytes | JobStatus |
| 61    | BilboRemoteBackup | 2019-09-30 12:04:04 | B    | F     | 1746     | 745075   | T         |
| 62    | BilboRemoteBackup | 2019-09-30 12:10:02 | B    | I     | 0        | 0        | T         |
| 63    | BilboRemoteBackup | 2019-09-30 12:20:02 | B    | I     | 2        | 37       | T         |
| 64    | BilboRemoteBackup | 2019-09-30 12:30:00 | B    | I     | 0        | 0        | T         |
| 65    | BilboRemoteBackup | 2019-09-30 12:30:12 | B    | D     | 2        | 37       | T         |
| 66    | BilboRemoteBackup | 2019-09-30 12:40:02 | B    | I     | 0        | 0        | T         |
| 67    | BilboRemoteBackup | 2019-09-30 12:50:02 | B    | I     | 0        | 0        | T         |
| 68    | BilboRemoteBackup | 2019-09-30 13:00:00 | B    | I     | 0        | 0        | T         |
| 69    | BilboRemoteBackup | 2019-09-30 13:00:12 | B    | D     | 2        | 37       | T         |
| 70    | BilboRemoteBackup | 2019-09-30 13:10:02 | B    | I     | 0        | 0        | T         |
| 71    | BilboRemoteBackup | 2019-09-30 13:20:02 | B    | I     | 0        | 0        | T         |
| 72    | BilboRemoteBackup | 2019-09-30 13:30:01 | B    | I     | 0        | 0        | T         |
| 73    | BilboRemoteBackup | 2019-09-30 13:30:12 | B    | D     | 2        | 37       | T         |
| 74    | BilboRemoteBackup | 2019-09-30 13:40:03 | B    | I     | 0        | 0        | T         |
| 75    | BilboRemoteBackup | 2019-09-30 13:50:03 | B    | I     | 0        | 0        | T         |
| 76    | BilboRemoteBackup | 2019-09-30 14:00:01 | B    | I     | 0        | 0        | T         |
| 77    | BilboRemoteBackup | 2019-09-30 14:00:13 | B    | D     | 2        | 37       | T         |
| 78    | BilboRemoteBackup | 2019-09-30 14:10:03 | B    | I     | 0        | 0        | T         |
| 79    | BilboRemoteBackup | 2019-09-30 17:00:00 | B    | I     | 0        | 0        | T         |
| 80    | BilboRemoteBackup | 2019-09-30 17:00:12 | B    | D     | 2        | 37       | T         |
| 81    | BilboRemoteBackup | 2019-09-30 17:10:02 | B    | I     | 0        | 0        | T         |
| 82    | RestoreRemote     | 2019-09-30 17:10:43 | R    | F     | 1746     | 2190846  | T         |
| 83    | RestoreRemote     | 2019-09-30 17:14:30 | R    | F     | 2        | 29       | T         |
| 84    | RestoreRemote     | 2019-09-30 17:18:50 | R    | F     | 1746     | 2190846  | T         |
| 85    | BilboRemoteBackup | 2019-09-30 17:20:02 | B    | I     | 1        | 0        | T         |
| 86    | BilboRemoteBackup | 2019-09-30 18:10:19 | B    | I     | 0        | 0        | T         |
| 87    | BilboRemoteBackup | 2019-09-30 18:20:02 | B    | I     | 0        | 0        | T         |
| 88    | BilboRemoteBackup | 2019-09-30 18:30:00 | B    | I     | 0        | 0        | T         |
| 89    | BilboRemoteBackup | 2019-09-30 18:30:12 | B    | D     | 1        | 0        | T         |
| 90    | BilboRemoteBackup | 2019-09-30 18:40:02 | B    | I     | 0        | 0        | T         |
| 91    | BilboRemoteBackup | 2019-09-30 18:50:03 | B    | I     | 0        | 0        | T         |
| 92    | BilboRemoteBackup | 2019-09-30 18:50:15 | B    | I     | 0        | 0        | T         |
| 93    | RestoreRemote     | 2019-09-30 18:51:29 | R    | F     | 2        | 29       | T         |
+-------+-------------------+---------------------+------+-------+----------+----------+-----------+
*

